*	name	The 2500 most common chinese characters
种	"汉字: 种
拼音: zhong3/zhong4
英文: kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate
五笔:tkh.tkhh
F(x):57"	tts_种.mp3		2,0,10,10,11,12,4320,2015-10-21 21:23,2016-10-25 21:23	
事	"汉字: 事
拼音: shi4
英文: matter/thing/item/work/affair
五笔:gk.gkv.gkvh
F(x):58"	tts_事.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
成	"汉字: 成
拼音: cheng2/cheng4
英文: finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth
五笔:dn.dnn.dnnt
F(x):59"	tts_成.mp3		2,0,11,11,11,12,4320,2015-10-07 21:02,2016-10-18 21:02	
方	"汉字: 方
拼音: fang1
英文: square/quadrilateral/direction/just
五笔:yy.yygn
F(x):60"	tts_方.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
多	"汉字: 多
拼音: duo1
英文: many/much/a lot of/numerous/multi-
五笔:qq.qqu
F(x):61"	tts_多.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
经	"汉字: 经
拼音: jing1
英文: classics/sacred book/pass through/to undergo/scripture
五笔:x.xc.xca.xcag
F(x):62"	tts_经.mp3		2,0,34,21,4,5,59,2016-08-19 22:03,2016-09-13 09:03	
么	"汉字: 么
拼音: ma/me/yao1
英文: (interrog. part.), (interrog. suff.), one on dice/small
五笔:tc.tcu
F(x):63"	tts_么.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
去	"汉字: 去
拼音: qu4
英文: to go/to leave/to remove
五笔:fcu
F(x):64"	tts_去.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
法	"汉字: 法
拼音: fa3
英文: law/method/way/Buddhist teaching/Legalist/France (abbrev.)
五笔:if.ifc.ifcy
F(x):65"	tts_法.mp3		2,0,11,11,11,12,4320,2015-10-04 20:25,2016-10-15 20:25	
学	"汉字: 学
拼音: xue2
英文: learn/study/science/-ology
五笔:ip.ipb.ipbf
F(x):66"	tts_学.mp3		3,0,0,0,0,0,0,1969-12-31 19:00,1969-12-31 19:00	
如	"汉字: 如
拼音: ru2
英文: as (if)/such as
五笔:vk.vkg
F(x):67"	tts_如.mp3		2,0,24,20,4,5,720,2016-08-13 21:57,2016-10-04 21:57	
都	"汉字: 都
拼音: dou1/du1
英文: all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city
五笔:ftjb
F(x):68"	tts_都.mp3		2,0,26,22,10,11,4320,2016-03-14 21:19,2017-01-28 20:19	
同	"汉字: 同
拼音: tong2
英文: like/same/similar/together/alike/with
五笔:mg.mgk.mgkd
F(x):69"	tts_同.mp3		2,0,9,9,10,11,4320,2015-09-24 21:14,2016-10-07 21:14	
现	"汉字: 现
拼音: xian4
英文: appear/present/now/existing/current
五笔:gm.gmq.gmqn
F(x):70"	tts_现.mp3		2,0,30,23,2,3,3158,2016-01-22 21:41,2016-11-12 11:41	
当	"汉字: 当
拼音: dang1/dang4
英文: to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent"	tts_当.mp3		3,0,0,0,0,0,0,1969-12-31 19:00,1969-12-31 19:00	
